Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
    1  151 0                  0          0          com.apple.kpi.bsd (24.6.0) 90688F0F-33FC-3A1A-8DB6-EF9F59DBA1A9 <>
    2   11 0                  0          0          com.apple.kpi.dsep (24.6.0) 90688F0F-33FC-3A1A-8DB6-EF9F59DBA1A9 <>
    3  188 0                  0          0          com.apple.kpi.iokit (24.6.0) 90688F0F-33FC-3A1A-8DB6-EF9F59DBA1A9 <>
    4    0 0                  0          0          com.apple.kpi.kasan (24.6.0) 90688F0F-33FC-3A1A-8DB6-EF9F59DBA1A9 <>
    5    0 0                  0          0          com.apple.kpi.kcov (24.6.0) 90688F0F-33FC-3A1A-8DB6-EF9F59DBA1A9 <>
    6  192 0                  0          0          com.apple.kpi.libkern (24.6.0) 90688F0F-33FC-3A1A-8DB6-EF9F59DBA1A9 <>
    7  171 0                  0          0          com.apple.kpi.mach (24.6.0) 90688F0F-33FC-3A1A-8DB6-EF9F59DBA1A9 <>
    8  127 0                  0          0          com.apple.kpi.private (24.6.0) 90688F0F-33FC-3A1A-8DB6-EF9F59DBA1A9 <>
    9  111 0                  0          0          com.apple.kpi.unsupported (24.6.0) 90688F0F-33FC-3A1A-8DB6-EF9F59DBA1A9 <>
   10   16 0xffffff80031e6000 0x81fe0    0x81fe0    com.apple.kec.corecrypto (14.0) 73605282-B982-31D4-9F9C-3027B1F9F833 <9 8 7 6 3 1>
   11    0 0xffffff80018f6000 0x3000     0x3000     com.apple.kec.AppleEncryptedArchive (1) F6A301EA-AB58-32C7-A23B-E5B2D1399DA9 <10 8 7 6>
   12    0 0xffffff8001ef0000 0x3ff8     0x3ff8     com.apple.kec.Compression (1.0) 9F710EBC-01AB-390D-9F18-94224BBD206A <10 8 7 6>
   13    2 0xffffff8002eb4000 0xdfe0     0xdfe0     com.apple.kec.Libm (1) 9EF4CA58-3151-32C3-A096-E93FC7E70C91 <6>
   14    0 0xffffff8002fd4000 0x2000     0x2000     com.apple.kec.XrtHostedXnu (1) 7D026AEE-7A5B-308A-89B6-B1580B34C846 <8 6>
   15    0 0xffffff8003299000 0x7000     0x7000     com.apple.kec.pthread (1) E17C9365-F47E-3DC0-A0F3-632E3822151C <9 8 7 6 3 1>
   16    1 0xffffff80032ae000 0x2fff     0x2fff     com.apple.driver.watchdog (1) 4666644E-D886-3732-9DB5-251F4321768C <9 8 7 6 3 1>
   17   34 0xffffff8002406000 0x2000     0x2000     com.apple.iokit.IOACPIFamily (1.4) 50D529B0-A929-3533-839B-6CE41FC937F2 <9 8 6 3>
   18   45 0xffffff8002885000 0x35000    0x35000    com.apple.iokit.IOPCIFamily (2.9) 84CACCCE-3659-38B3-A06A-DC4326391705 <9 8 7 6 3>
   19   14 0xffffff8001bca000 0x19ffe    0x19ffe    com.apple.driver.AppleSMC (3.1.9) CB4E3E0B-2583-3476-A215-30C8233D2D64 <18 17 16 9 8 7 6 3 1>
